lat,lng,postalCode,data_updated_at,data_count_grass_pollen,data_count_tree_pollen,data_count_weed_pollen
40.7927,-82.7367,44827,2023-02-19 02:00:00+00:00,0,230,0
40.7303,-82.7939,44833,2023-02-19 02:00:00+00:00,0,85,0
40.9571,-82.8504,44854,2023-02-19 02:00:00+00:00,0,272,0
40.7934,-82.8566,44856,2023-02-19 02:00:00+00:00,0,151,0
40.3172,-82.056,43844,2023-02-19 02:00:00+00:00,0,39,0
41.5064,-81.6743,44114,2023-02-19 02:00:00+00:00,0,298,0
41.4946,-81.667,44115,2023-02-19 02:00:00+00:00,0,291,0
41.4694,-81.8512,44116,2023-02-19 02:00:00+00:00,0,267,0
41.4105,-81.5603,44137,2023-02-19 02:00:00+00:00,0,284,0
41.3734,-81.9158,44138,2023-02-19 02:00:00+00:00,0,120,0
41.3866,-81.4421,44139,2023-02-19 02:00:00+00:00,0,267,0
41.4841,-81.9289,44140,2023-02-19 02:00:00+00:00,0,140,0
41.3166,-81.6261,44141,2023-02-19 02:00:00+00:00,0,153,0
41.3979,-81.8118,44142,2023-02-19 02:00:00+00:00,0,177,0
41.5592,-81.4828,44143,2023-02-19 02:00:00+00:00,0,301,0
41.3132,-81.8285,44136,2023-02-19 02:00:00+00:00,0,105,0
41.4385,-81.7398,44144,2023-02-19 02:00:00+00:00,0,292,0
41.3921,-81.5232,44146,2023-02-19 02:00:00+00:00,0,284,0
41.3141,-81.6731,44147,2023-02-19 02:00:00+00:00,0,127,0
41.6857,-81.6728,44181,2023-02-19 02:00:00+00:00,0,226,0
41.6857,-81.6728,44188,2023-02-19 02:00:00+00:00,0,226,0
41.6857,-81.6728,44190,2023-02-19 02:00:00+00:00,0,226,0
41.6857,-81.6728,44191,2023-02-19 02:00:00+00:00,0,226,0
41.6857,-81.6728,44194,2023-02-19 02:00:00+00:00,0,226,0
41.4535,-81.9218,44145,2023-02-19 02:00:00+00:00,0,106,0
41.6857,-81.6728,44197,2023-02-19 02:00:00+00:00,0,226,0
41.4342,-81.8044,44135,2023-02-19 02:00:00+00:00,0,279,0
41.3232,-81.7457,44133,2023-02-19 02:00:00+00:00,0,67,0
41.5696,-81.5257,44117,2023-02-19 02:00:00+00:00,0,280,0
41.5008,-81.5516,44118,2023-02-19 02:00:00+00:00,0,293,0
41.5882,-81.5468,44119,2023-02-19 02:00:00+00:00,0,302,0
41.4714,-81.5839,44120,2023-02-19 02:00:00+00:00,0,265,0
41.5277,-81.5323,44121,2023-02-19 02:00:00+00:00,0,294,0
41.4701,-81.5232,44122,2023-02-19 02:00:00+00:00,0,258,0
41.6025,-81.5258,44123,2023-02-19 02:00:00+00:00,0,308,0
41.3853,-81.7044,44134,2023-02-19 02:00:00+00:00,0,238,0
41.501,-81.4694,44124,2023-02-19 02:00:00+00:00,0,266,0
41.4429,-81.853,44126,2023-02-19 02:00:00+00:00,0,291,0
41.4701,-81.649,44127,2023-02-19 02:00:00+00:00,0,288,0
41.4416,-81.5486,44128,2023-02-19 02:00:00+00:00,0,268,0
41.3897,-81.7351,44129,2023-02-19 02:00:00+00:00,0,193,0
41.3826,-81.7964,44130,2023-02-19 02:00:00+00:00,0,174,0
41.3809,-81.6642,44131,2023-02-19 02:00:00+00:00,0,254,0
41.6069,-81.4993,44132,2023-02-19 02:00:00+00:00,0,304,0
41.4335,-81.6323,44125,2023-02-19 02:00:00+00:00,0,295,0
39.969,-83.0114,43218,2023-02-19 02:00:00+00:00,0,135,0
39.1979,-81.7446,45739,2023-02-19 02:00:00+00:00,0,77,0
39.4978,-82.0871,45732,2023-02-19 02:00:00+00:00,0,114,0
43.4214,-73.9495,12878,2023-02-19 02:00:00+00:00,0,44,0
43.5003,-73.792,12885,2023-02-19 02:00:00+00:00,0,50,0
43.6313,-73.9364,12886,2023-02-19 02:00:00+00:00,0,70,0
